id,bom_line_ids/id,bom_line_ids/product_id/id,bom_line_ids/product_qty,bom_line_ids/product_uom_id/id,product_tmpl_id/id,product_uom_id/id,product_qty
init.41dbbff1-272c-4325-ae5a-34401b0cccc3,init.10d1c3da-0340-4d4a-9b3a-9c5c76ada249,init.210a39a6-6b97-4f24-bfab-f4c34e7631bf,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.6e50abf7-da9b-4a65-a7da-f9d5fbc181a4_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.b103ad03-30e7-40e0-aacd-d6cd8b12d12e,init.afd49b6e-e4f9-46f9-b5fb-5a2faa7de956,init.088c5d1b-d55a-4c4b-bbf1-bbb34e27ed12,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.abaf460e-aa00-40e2-aa9c-c06d7347fe13_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.b45faa51-b68b-406c-b8ba-51d2b10d0a79,init.7b4f75fe-cf01-43a7-a421-7e1a1ab58887,init.f60885c9-31a2-4651-9c30-022a6c5ed823,3,init.b7c152ea-3412-40d3-8973-724d9e9ef77b,init.4c5b81b3-1a33-49bc-a2da-847fe54ae887_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.7d23d3fe-43a5-42f8-b3a6-09076e1eb73e,init.b41a3ef7-7413-4902-8dbd-f6ef90fe4b8c,init.2db963ac-6017-4a3e-b755-e80c5087105e,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.c278f65b-3ee4-48bb-a5a3-d01b05b19630_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.3912e1f5-ff26-4497-ba37-f0aa5ca6beca,init.038f79e7-dfc4-42e7-8179-60e491e74484,init.08267190-1063-47f9-90c8-171dcdfcd039,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.1c1125fc-55a3-4c37-9b52-fb11af3e7537_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.051dff8e-8107-47d4-a57c-c237d7f23a57,init.cc033a41-77ab-4efd-94c8-562d2c668e6f,init.3e921c91-3c58-4965-9628-40d6a1161b5c,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.152242e1-6d06-455e-9b94-758b7fa4e3d5_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.b4f2f4b3-547b-44e6-bffe-0703c91d3783,init.fce256d5-05a8-49bb-9655-d34000985955,init.7d829ec5-6f7c-42f6-b477-a2fa371c9759,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.9cbe1fc5-d2a4-44cf-8d88-c3aa3a376bc8_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.defbdb0e-59ca-4ef7-a759-e09d8e0d5df7,init.fc7d07c9-f455-4623-a949-53874b44fe38,init.7f36f05b-f185-479d-af4e-c78763abdbc3,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.60f0c3c0-ae59-4a37-8bda-1e9e5ec94e61_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.9cf1f9df-80a4-4992-a95b-5c794778a46b,init.7343840c-ee97-4b08-8056-223841ef3bf0,init.7d83eb57-c03b-4f3c-93f5-783c0f221d0c,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.81eda018-b190-4e0b-89b6-cf8a814b0ea6_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.03bba6d4-7f13-44cb-b554-7fd57f2f983e,init.c7cbb9dd-4bb1-4240-b9db-86c15e0a5fb4,init.8e3d9d18-e238-482a-ad3f-853a8eaa8acb,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.3d77613f-f1cf-4cb8-8820-00a0cc253f35_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.3c8b8f7e-e772-48a7-a697-1fd924850205,init.eea32897-2402-4c86-a950-ee9b3d28f26d,init.50a5492e-46f7-4f18-8492-8e9ca88d9188,1,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.f278f3e4-bbc1-45ec-b3f7-5ea0825c1157_product_template,init.c509eecb-1566-4cd0-8a5e-524c95be94ec,5
init.d89269e2-4499-4aef-b9a3-0685e3a34de3,init.80223b42-8675-4a77-8498-0f57a2345d1b,init.38135472-1516-47b6-806a-4e5e98767a6f,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.10f545ec-13d7-4bda-bc02-e8fe3e706ae0_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.5b97ca16-47ca-42d9-8c45-8fb1c3111afe,init.587da305-a63a-41f6-bc9a-bbea404b25a7,init.f7b0961f-9c0b-47bd-bae7-8e73038eaa8c,1,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.a980a921-8d5d-4ab6-be31-a79b061333a2_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,10
init.d6957b9e-c2aa-4e77-b0f1-fb7116008b36,init.70940fd3-236e-47fc-9a18-dd88ce08df7c,init.fb31bd53-854f-47c4-9489-ba4cebc7792f,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.d74151ee-046e-44f5-8f91-f68a8bf57441_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.0f9112a0-d8ef-4468-9939-aa5d2f88e934,init.1fb13b3b-dfff-41e9-8789-be2bdf342558,init.81cb821c-3280-414c-a094-fa645aec55e2,1,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.b90b8b23-7ffc-41d4-a794-51f59cece2f4_product_template,init.50d348c0-9290-4339-ad55-9a752ad65b1e,10
init.c234e78b-2752-4a18-ad3f-2760d23c4cc1,init.5505474c-2b58-4da2-a954-9fd5591b759c,init.5c93d673-db43-46a1-967f-1dca8bee2a88,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.d20e3ab0-6297-4a6c-9eb9-7af5e9abc05f_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.3119cf3d-aa4d-4122-aef3-74df2e0dba84,init.8da751dd-a06f-4a3d-8177-45c059610289,init.d07dd079-a38d-4957-b5fd-15f689a24e42,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.75921f20-4011-4043-85af-b240b12eb30c_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.035abff2-bd1a-4036-ba1a-ec92159020dc,init.f67dccfb-88ce-4833-9cf9-703ce504b13e,init.ec243fdc-58ec-4e62-a60e-0fd2f42ea080,1,init.d6182285-4b4a-4545-a8b1-a6bb12e3140e,init.5cf41c92-7ffd-46c9-bb9a-1ffe35127fac_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,2
init.0865c807-75ef-48c3-a639-6f08120b442b,init.f937c06b-4fad-4eb7-8a8d-234457921eb6,init.9dcae25b-6d2d-4806-bc30-0a636c2a5ee4,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.bc3ae66e-8e10-4578-a7f7-ff689c05867f_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.30eb0f1a-9348-4029-a37c-0deeb3bb48b2,init.a0e92dbe-318e-4fab-acfa-cfe0a1719ebc,init.0f346d70-d09c-4a5d-ab59-896785c8b1e0,3,init.4801928b-f31a-4341-bdf2-c982ecb649f0,init.96a77ccd-de13-456a-9f67-559902b9969e_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,10
init.69c3bffc-a833-45b0-8fdb-eba65b3d60e7,init.be8a4776-0fe7-4b5c-91ad-9cf967ca9665,init.b48dba3a-dab6-425a-8139-db867d8ef546,3,init.b7c152ea-3412-40d3-8973-724d9e9ef77b,init.7d3d44c4-65d0-4223-99d6-fbafa52bfaa4_product_template,init.4fc93bbe-bb54-4e20-ae5f-a5cec41de5fa,100
